Address,Balance
0xe2c420a99ef7a86e1a65891ff00fa48516c6cfd4,515295885744318319974745
0xc37c3bcb3598e8d9c323a09802ace19be04416d3,515085732186327385180607
0x1685a195ef078282fae7dc4c72c75f0cec060fff,514636042483542126533932
0xdaeebbe0d553251fceaa7a13d3109585c7dfdf1c,513751697099807633911275
0x2c14ffb5b2444eeb203800e9f01a98221b6e5611,512860855520139560965674
0xbf69c5ac1438e8095cabf126f567440ed9b84b6e,511512787006066208221730
0xfa74b649d86388b3a2c5b492df519eb7cf19f290,507544370414268695141037
0x625c17831e51e27385ade98796f97e94f6f0de90,507276583361838576051133
0x4e18036bb5e6e3cdc7acd0ba935974a191cafc72,505721514871852515253211
0xcc439debf5b843ac9ebbba86e5bd20f5bcb79cb8,504809638645044927819397
0xcdf3747461aebdc2ed347d7022f3aec607316584,503612009090390145478867
0x576c650f2016f8914fd1a45022a16ff12ec00fa1,500898063949504864799153
0xd4145dd72876aa7dbacdb3b91529ef72c869567f,500000000000000000000000
0x824880aa72a9c933c7855e1ea738b9b4f5d2e0d6,500000000000000000000000
0x088c3dae3584be066b0f74f714c5921d8f81951c,491534095161113841533535
0x82149885911139855e574757314f2ae82abba52e,491062920237885775680654
0x3098c69d038e9e50fc9c0351bb60a65b5694241a,489512751500111412036344
0x3e218c4a699a897dd4c6b03d7930334f5067d472,488619821132224652418569
0xc164fd320055b501e559075c980112f86a865358,488619821132224652418562
0x59bbbf4e3d1a972287c286b996e65e022ab08e71,488619821132224652418562
0x0b4e4f28765a0b253f2d5acfe358e37428008229,488619821132224652418562
0x675486ca70a4ace850f4f8f68a45e53508191241,488619821132224652418562
0xbdebc4812429b4005e2e46df5e473e829af34c69,488619821132224652418562
0x9328eff67d0e4b92e5c5555b145fe913d726395c,488619821132224652418562
0x4990a1a8a05973fbbca1904daa6cd8e4e38ccbd5,488619821132224652418562
0x0dbd18d69d8f7291b6c545864cce4ce7e2e6edd0,488619821132224652418562
0x995a92cad7c0944d9dec24a9634bbe3f15386180,488619821132224652418562
0x220d040ea1cc9b7399d2f290eb9a7f5bfa88e79e,486230356743654377482300
0xd8470caeb17e68534ecdd82ebb567ddfd90ad680,479640968897790665986408
0x242ed663d68f9e391fb3d93e976eb9f641cdeb22,478156847939689611214226
0x97bb6bdb487d8ea23afb775534b2dc4418d2bcd0,477787487367139732412193
0x44c35d31da7eac0091eca78118ad9c2a7764b0a7,477156032831156811117555
0x53b7e69bfbd817daea79c0171891eb65c89f8f20,472089000000000000000000
0xeee2ed5d5699a78cef90e7245bb92468ccd8702c,463888081500125912929568
0x475660e7eccffbab062631aa51be0694781f5fc3,463814814224018168324954
0xab99301e8715c340dd7e8316799f3416311e3554,458992581880633292247807
0xf11ebc7c0eeb223ce5770f20342e7f5d87387716,458305549165733688186611
0x40947ff7219e90f0e97934dfee9b12bc586f412f,458139682904390727913364
0x43a69946bc684cf96ea5b3e21ddf76e41d51b429,457871304034287130093409
0x66d90362e33a07d563cfff46c9aaf64429a7432d,456026224069842975631153
0xeda46cca462854ffb95ee05b00d2fb3041af6c1e,455432382077547452161257
0x38ea22af8b5478232a3dbdfec720b8d33b26b91e,453084500844186323858695
0x1dca668b586cb2e174c46dbc5adabaae5fd30e7a,449732044826607171832465
0x46724c51e975248be49d263668ac17a0b905f39e,448356322830236453600460
0x184d89df28dead3f81a98cb39674fea0a78054c8,447849256322036482231709
0x0b8c0f4869b5fc625ad693c52d1ce359cb1d5a2b,441984298127341478937653
0x46e014b5b486babb99358bf7c8f0d89b41f1b9f5,440015177588738711383370
0xd7b899f059feaecd7f3f508b14109a26e8d72dfb,437647950344550484751932
0x1ffa683fc09a3cd3f703e01d3b14652f9905433e,437365891599829010305810
0x4b190fdb83baaa6306f285d8ddf91cf09fa57c5e,434201701357970402673845
0x9cff811681b932381aef425f56a3d945027ff181,429526640397569550204267
0x28828f67b4c7b78a4930b904916445f5981cd284,426577994652142116320534
0x57c195378374396526e9b94472d86f01ed68ad2c,426539546424935342367187
0x28b9e5ecd9706c3d0f8cd38d44cbc11ab9dbf02d,424163976039836799640577
0x278bd2943b6fd604e81e211af7037e337080690c,424109742530523294384819
0xa8e60e25c98820ceebcc777fbb50a46c5076cb26,422338398081116567166653
0x6ba23d93ecbccdc1c4372dd13555f765591b7f42,420142610339781653127348
0x05bea9870da4573c256eb0df77ca51cc4c82fc92,415466906004593937334942
0x0fb29066261cbf17716907883597c51be42d4536,414721397899465806611455
0xe762c231caab18fd13c0d95851426d64fd3306e6,413637579627381229361668
0x8e60d3c10886c0c18642b45efac1591b06ca638a,413177117319421752828472
0x992f18e44b3bdb941caa826f50fbc7f1592b3237,411359619608279158442583
0x6f5ed25c95081dced30411188f332a09bbd51fe2,411008753118343129419349
0xaab5a73055117c58b1e53d9a99b48dfccfd8c813,410667785948328912932948
0x7496020e51f7966347d931da7a5d0336d1f02af9,402892142999087295335058
0xa44a4409a6a2fb766fa2ccb0e76bbf580c0b4c3a,400000000000000000000000
0x76d786f56b6c861958c4066a5a7240b0eb17d311,400000000000000000000000
0xad15f8f18f177472e9b70faa9a3da51dee25ce65,399811956412647025392024
0x09631ad746dc4f2fa8670dea88f0abf86b39790e,399577485566000830402712
0x41ebf068339c46ff5802915fa40b47389c4961b1,398522515468340326146849
0x86cb473e56e18accd28e93f565edce2d650ccbc4,395424581093272842563639
0x46c81f5dcde3660c42b8ef6075f46ae500526f9a,391540839829552311087661
0x4127f0e31410ddfb8545ec81cc74befb75ea0463,387353453139939025390962
0x414a2992ce7f55773afeda011ef97c05bacf7c7a,386971009703101906793549
