address,airdrop_received,cplay_bought,buy_transactions,vault_sent,played,flip_count,flip_10_count,flip_other_count,total_bets,total_payouts,wins,losses,miner_upgrade_count,click_upgrade_count,bought_miner,bought_click,onchain_miner_level,onchain_click_level,onchain_balance,first_activity_block,last_activity_block
0x3B917504Ebe6cbDaEB0C3A1c82b75D41Ab5c43db,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994673,12994673
0xEd5152D60DAf9C9cD9bB5DBB5600237221617603,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994686,12994686
0x92957790cDa9fc741Dfd0a839a896c695885147c,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994698,12994698
0xaEDBb9556772DE717f4008aC5008120e9dfEc3F8,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994711,12994711
0x091E3a29506f611B1ec9418fc2a6B3F0977210Bc,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994723,12994723
0xb7F0D7c86151cC72f748747bbCB33E5127B3C2C0,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994736,12994736
0x27d98F18603aA5C1100B18841fF301De1a81f33E,"17,970,010","17,970,010",2,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12869364,12994749
0x0585a5a496632859Dfe5269aDB51B80f5D9E33ff,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994762,12994762
0xcB2f1472d3F738903acA4ACBd9A8c26baeAeD79D,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994775,12994775
0xB9AF2f53F3EfDd1cd93761659Dfb264a6F601287,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994788,12994788
0xeF6269de7d3e98d3Fe86c6e726A169294B561bba,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994801,12994801
0xCF2DeD96E74EBcFC97683Ed4e1606644d3b365AA,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994814,12994814
0xfEabd50DB0eA048143AB8c638A6246D217968254,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994824,12994824
0xC4D9F964893532b75c63f2EaaEc05c5E37959B62,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994837,12994837
0xf68eb71366739d4D36E633Fa4C832fDC5Fda6098,10,10,1,0,false,0,0,0,0,0,0,0,0,0,false,false,0,0,0,12994849,12994849
